Height,Frequency,Density
89.759,0.200,495.0
90.000,0.221,603.0
95.000,1.342,22300.0
100.000,1.734,37200.0
105.000,1.937,46500.0
110.000,2.002,49600.0
115.000,1.961,47600.0
119.889,1.839,41900.0
120.000,1.839,41900.0
125.000,1.839,41900.0
129.778,1.839,41900.0
130.000,1.843,42000.0
135.000,1.925,45900.0
139.667,2.002,49600.0
140.000,2.009,49900.0
145.000,2.117,55500.0
150.000,2.249,62600.0
155.000,2.412,72000.0
160.000,2.615,84700.0
165.000,2.869,102000.0
170.000,3.179,125000.0
175.000,3.522,154000.0
180.000,3.830,182000.0
185.000,4.051,203000.0
190.000,4.191,217000.0
195.000,4.265,225000.0
199.644,4.287,228000.0
200.000,4.287,228000.0
205.000,4.270,226000.0
210.000,4.225,221000.0
215.000,4.156,214000.0
220.000,4.068,205000.0
225.000,3.964,194000.0
230.000,3.847,183000.0
235.000,3.720,171000.0
240.000,3.586,159000.0
245.000,3.447,147000.0
250.000,3.306,135000.0
255.000,3.163,124000.0
260.000,3.021,113000.0
265.000,2.880,103000.0
270.000,2.742,93100.0
275.000,2.607,84100.0
280.000,2.475,75900.0
285.000,2.348,68300.0
290.000,2.225,61300.0
295.000,2.107,55000.0
300.000,1.994,49200.0
305.000,1.885,44000.0
310.000,1.782,39300.0
315.000,1.683,35100.0
320.000,1.589,31300.0
325.000,1.500,27800.0
330.000,1.415,24800.0
335.000,1.335,22100.0
340.000,1.258,19600.0
345.000,1.186,17400.0
350.000,1.118,15500.0
355.000,1.054,13700.0
360.000,0.993,12200.0
365.000,0.935,10800.0
370.000,0.881,9600.0
375.000,0.829,8520.0
380.000,0.781,7550.0
385.000,0.735,6700.0
390.000,0.692,5940.0
395.000,0.652,5260.0
400.000,0.614,4660.0
405.000,0.578,4130.0
410.000,0.544,3660.0
415.000,0.512,3240.0
420.000,0.482,2870.0
425.000,0.453,2550.0
430.000,0.427,2250.0
435.000,0.402,2000.0
440.000,0.378,1770.0
445.000,0.356,1570.0
450.000,0.335,1390.0
455.000,0.315,1230.0
460.000,0.296,1090.0
465.000,0.279,963.0
470.000,0.262,853.0
475.000,0.247,755.0
480.000,0.232,669.0
485.000,0.219,592.0
490.000,0.206,524.0
