Height,Frequency,Density
90.803,0.200,495.0
95.000,0.456,2580.0
100.000,0.596,4400.0
105.000,0.666,5490.0
110.000,0.688,5860.0
115.000,0.677,5670.0
120.000,0.643,5120.0
125.000,0.583,4200.0
130.000,0.485,2920.0
132.167,0.425,2240.0
135.000,0.425,2240.0
140.000,0.425,2240.0
145.000,0.425,2240.0
150.000,0.425,2240.0
154.333,0.425,2240.0
155.000,0.433,2320.0
160.000,0.492,3000.0
165.000,0.552,3770.0
170.000,0.611,4620.0
175.000,0.670,5560.0
176.500,0.688,5860.0
180.000,0.888,9760.0
185.000,1.249,19300.0
190.000,1.675,34700.0
195.000,2.118,55500.0
200.000,2.501,77400.0
205.000,2.771,95100.0
210.000,2.914,105000.0
213.230,2.940,107000.0
215.000,2.936,107000.0
220.000,2.881,103000.0
225.000,2.778,95500.0
230.000,2.639,86200.0
235.000,2.479,76100.0
240.000,2.306,65800.0
245.000,2.130,56200.0
250.000,1.955,47300.0
255.000,1.786,39500.0
260.000,1.625,32700.0
265.000,1.475,26900.0
270.000,1.334,22000.0
275.000,1.205,18000.0
280.000,1.087,14600.0
285.000,0.979,11900.0
290.000,0.880,9600.0
295.000,0.791,7750.0
300.000,0.711,6260.0
305.000,0.638,5040.0
310.000,0.573,4060.0
315.000,0.514,3270.0
320.000,0.461,2630.0
325.000,0.413,2110.0
330.000,0.370,1700.0
335.000,0.332,1370.0
340.000,0.298,1100.0
345.000,0.267,881.0
350.000,0.239,707.0
355.000,0.214,568.0
