Height,Frequency,Density
90.516,0.200,495.0
95.000,0.544,3660.0
100.000,0.709,6220.0
105.000,0.792,7760.0
110.000,0.818,8280.0
115.000,0.805,8030.0
120.000,0.766,7260.0
125.000,0.696,6000.0
130.000,0.584,4230.0
133.333,0.471,2750.0
135.000,0.471,2750.0
140.000,0.471,2750.0
145.000,0.471,2750.0
150.000,0.471,2750.0
155.000,0.471,2750.0
156.667,0.471,2750.0
160.000,0.521,3350.0
165.000,0.595,4380.0
170.000,0.669,5550.0
175.000,0.744,6850.0
180.000,0.818,8280.0
185.000,1.007,12600.0
190.000,1.277,20200.0
195.000,1.644,33500.0
200.000,2.173,58500.0
205.000,2.650,87000.0
210.000,2.912,105000.0
215.000,3.066,116000.0
220.000,3.162,124000.0
225.000,3.221,128000.0
230.000,3.250,131000.0
233.227,3.255,131000.0
235.000,3.254,131000.0
240.000,3.234,130000.0
245.000,3.195,126000.0
250.000,3.139,122000.0
255.000,3.069,117000.0
260.000,2.987,110000.0
265.000,2.897,104000.0
270.000,2.799,97000.0
275.000,2.697,90100.0
280.000,2.592,83200.0
285.000,2.485,76400.0
290.000,2.377,69900.0
295.000,2.269,63800.0
300.000,2.163,57900.0
305.000,2.059,52500.0
310.000,1.958,47500.0
315.000,1.859,42800.0
320.000,1.764,38500.0
325.000,1.671,34600.0
330.000,1.583,31000.0
335.000,1.498,27800.0
340.000,1.417,24800.0
345.000,1.339,22200.0
350.000,1.265,19800.0
355.000,1.195,17700.0
360.000,1.128,15700.0
365.000,1.064,14000.0
370.000,1.004,12500.0
375.000,0.947,11100.0
380.000,0.893,9870.0
385.000,0.842,8770.0
390.000,0.793,7790.0
395.000,0.748,6920.0
400.000,0.705,6150.0
405.000,0.664,5450.0
410.000,0.625,4840.0
415.000,0.589,4290.0
420.000,0.555,3810.0
425.000,0.522,3380.0
430.000,0.492,3000.0
435.000,0.463,2660.0
440.000,0.436,2360.0
445.000,0.411,2090.0
450.000,0.387,1850.0
455.000,0.364,1640.0
460.000,0.343,1450.0
465.000,0.323,1290.0
470.000,0.304,1140.0
475.000,0.286,1010.0
480.000,0.269,897.0
485.000,0.253,795.0
490.000,0.239,704.0
495.000,0.225,624.0
500.000,0.211,553.0
