Height,Frequency,Density
93.502,0.200,495.0
95.000,0.234,677.0
100.000,0.307,1160.0
105.000,0.343,1450.0
110.000,0.354,1550.0
115.000,0.351,1520.0
120.000,0.342,1450.0
125.000,0.326,1310.0
130.000,0.302,1130.0
135.000,0.268,887.0
140.000,0.219,593.0
141.513,0.200,495.0
145.000,0.200,495.0
150.000,0.200,495.0
155.000,0.200,495.0
160.000,0.200,495.0
165.000,0.200,495.0
170.000,0.200,495.0
173.027,0.200,495.0
175.000,0.210,544.0
180.000,0.234,678.0
185.000,0.259,827.0
190.000,0.283,991.0
195.000,0.307,1170.0
200.000,0.332,1360.0
204.540,0.354,1550.0
205.000,0.364,1640.0
210.000,0.481,2870.0
215.000,0.621,4780.0
220.000,0.785,7630.0
225.000,0.969,11600.0
230.000,1.168,16900.0
235.000,1.371,23300.0
240.000,1.569,30500.0
245.000,1.750,37900.0
250.000,1.905,44900.0
255.000,2.025,50800.0
260.000,2.103,54700.0
265.000,2.134,56400.0
265.765,2.135,56400.0
270.000,2.127,56000.0
275.000,2.097,54400.0
280.000,2.050,52000.0
285.000,1.989,49000.0
290.000,1.917,45500.0
295.000,1.837,41800.0
300.000,1.753,38000.0
305.000,1.666,34300.0
310.000,1.577,30800.0
315.000,1.489,27400.0
320.000,1.402,24300.0
325.000,1.317,21500.0
330.000,1.235,18900.0
335.000,1.156,16500.0
340.000,1.080,14500.0
345.000,1.009,12600.0
350.000,0.941,11000.0
355.000,0.877,9520.0
360.000,0.816,8250.0
365.000,0.760,7140.0
370.000,0.706,6180.0
375.000,0.657,5340.0
380.000,0.610,4610.0
385.000,0.567,3980.0
390.000,0.526,3430.0
395.000,0.488,2950.0
400.000,0.453,2540.0
405.000,0.421,2190.0
410.000,0.390,1890.0
415.000,0.362,1620.0
420.000,0.336,1400.0
425.000,0.311,1200.0
430.000,0.289,1030.0
435.000,0.268,887.0
440.000,0.248,763.0
445.000,0.230,656.0
450.000,0.213,563.0
