Height,Frequency,Density
91.196,0.200,495.0
95.000,0.383,1810.0
100.000,0.501,3100.0
105.000,0.560,3880.0
110.000,0.578,4140.0
115.000,0.568,4000.0
120.000,0.539,3590.0
125.000,0.485,2920.0
128.667,0.426,2250.0
130.000,0.426,2250.0
135.000,0.426,2250.0
140.000,0.426,2250.0
145.000,0.426,2250.0
147.333,0.426,2250.0
150.000,0.448,2480.0
155.000,0.488,2950.0
160.000,0.529,3470.0
165.000,0.570,4020.0
166.000,0.578,4140.0
170.000,0.698,6030.0
175.000,0.846,8860.0
180.000,1.079,14400.0
185.000,1.431,25300.0
190.000,1.687,35200.0
195.000,1.865,43000.0
200.000,2.000,49500.0
205.000,2.106,54900.0
210.000,2.187,59200.0
215.000,2.243,62300.0
220.000,2.271,63900.0
222.594,2.275,64100.0
225.000,2.273,64000.0
230.000,2.258,63100.0
235.000,2.228,61500.0
240.000,2.188,59200.0
245.000,2.137,56500.0
250.000,2.079,53500.0
255.000,2.014,50200.0
260.000,1.945,46900.0
265.000,1.873,43400.0
270.000,1.799,40100.0
275.000,1.724,36800.0
280.000,1.648,33600.0
285.000,1.573,30600.0
290.000,1.499,27800.0
295.000,1.426,25200.0
300.000,1.355,22700.0
305.000,1.286,20500.0
310.000,1.219,18400.0
315.000,1.155,16500.0
320.000,1.094,14800.0
325.000,1.035,13300.0
330.000,0.978,11800.0
335.000,0.924,10600.0
340.000,0.873,9430.0
345.000,0.824,8410.0
350.000,0.778,7490.0
355.000,0.734,6660.0
360.000,0.692,5930.0
365.000,0.652,5270.0
370.000,0.615,4680.0
375.000,0.579,4160.0
380.000,0.546,3690.0
385.000,0.514,3280.0
390.000,0.485,2910.0
395.000,0.456,2580.0
400.000,0.430,2290.0
405.000,0.405,2030.0
410.000,0.381,1800.0
415.000,0.359,1590.0
420.000,0.338,1410.0
425.000,0.318,1250.0
430.000,0.299,1110.0
435.000,0.282,983.0
440.000,0.265,871.0
445.000,0.250,771.0
450.000,0.235,683.0
455.000,0.221,605.0
460.000,0.208,536.0
