Height,Frequency,Density
93.502,0.200,495.0
95.000,0.234,677.0
100.000,0.307,1160.0
105.000,0.343,1450.0
110.000,0.354,1550.0
115.000,0.351,1530.0
120.000,0.343,1450.0
125.000,0.328,1330.0
130.000,0.307,1170.0
135.000,0.277,948.0
140.000,0.235,681.0
143.074,0.200,495.0
145.000,0.200,495.0
150.000,0.200,495.0
155.000,0.200,495.0
160.000,0.200,495.0
165.000,0.200,495.0
170.000,0.200,495.0
175.000,0.200,495.0
176.147,0.200,495.0
180.000,0.218,588.0
185.000,0.241,720.0
190.000,0.265,866.0
195.000,0.288,1030.0
200.000,0.311,1200.0
205.000,0.334,1380.0
209.221,0.354,1550.0
210.000,0.370,1700.0
215.000,0.468,2710.0
220.000,0.578,4130.0
225.000,0.710,6240.0
230.000,0.858,9120.0
235.000,1.008,12600.0
240.000,1.151,16400.0
245.000,1.286,20500.0
250.000,1.414,24800.0
255.000,1.536,29200.0
260.000,1.649,33700.0
265.000,1.750,37900.0
270.000,1.826,41300.0
274.879,1.855,42600.0
275.000,1.855,42600.0
280.000,1.845,42100.0
285.000,1.817,40900.0
290.000,1.775,39000.0
295.000,1.722,36700.0
300.000,1.660,34100.0
305.000,1.592,31400.0
310.000,1.520,28600.0
315.000,1.445,25900.0
320.000,1.370,23200.0
325.000,1.294,20700.0
330.000,1.220,18400.0
335.000,1.147,16300.0
340.000,1.077,14400.0
345.000,1.010,12600.0
350.000,0.945,11100.0
355.000,0.884,9670.0
360.000,0.825,8430.0
365.000,0.770,7340.0
370.000,0.718,6390.0
375.000,0.669,5550.0
380.000,0.623,4810.0
385.000,0.580,4170.0
390.000,0.540,3610.0
395.000,0.502,3120.0
400.000,0.467,2700.0
405.000,0.434,2330.0
410.000,0.404,2020.0
415.000,0.375,1740.0
420.000,0.348,1500.0
425.000,0.324,1300.0
430.000,0.301,1120.0
435.000,0.279,965.0
440.000,0.259,832.0
445.000,0.241,717.0
450.000,0.223,618.0
455.000,0.208,533.0
