Height,Frequency,Density
90.157,0.200,495.0
95.000,0.749,6950.0
100.000,0.974,11700.0
105.000,1.088,14700.0
110.000,1.124,15600.0
115.000,1.105,15100.0
120.000,1.046,13600.0
125.000,0.942,11000.0
126.619,0.896,9940.0
130.000,0.896,9940.0
135.000,0.896,9940.0
140.000,0.896,9940.0
143.237,0.896,9940.0
145.000,0.920,10500.0
150.000,0.989,12100.0
155.000,1.057,13800.0
159.856,1.124,15600.0
160.000,1.131,15800.0
165.000,1.330,21900.0
170.000,1.519,28600.0
175.000,1.731,37100.0
180.000,1.975,48300.0
185.000,2.239,62100.0
190.000,2.499,77300.0
195.000,2.740,92900.0
200.000,2.955,108000.0
205.000,3.140,122000.0
210.000,3.282,133000.0
215.000,3.356,139000.0
216.482,3.360,140000.0
220.000,3.351,139000.0
225.000,3.312,136000.0
230.000,3.246,130000.0
235.000,3.159,124000.0
240.000,3.055,116000.0
245.000,2.938,107000.0
250.000,2.813,98000.0
255.000,2.682,89100.0
260.000,2.549,80400.0
265.000,2.415,72200.0
270.000,2.282,64400.0
275.000,2.151,57300.0
280.000,2.024,50700.0
285.000,1.901,44800.0
290.000,1.784,39400.0
295.000,1.671,34600.0
300.000,1.564,30300.0
305.000,1.462,26500.0
310.000,1.366,23100.0
315.000,1.275,20100.0
320.000,1.190,17500.0
325.000,1.110,15200.0
330.000,1.035,13200.0
335.000,0.964,11500.0
340.000,0.898,9980.0
345.000,0.836,8650.0
350.000,0.778,7500.0
355.000,0.725,6500.0
360.000,0.674,5630.0
365.000,0.627,4870.0
370.000,0.584,4220.0
375.000,0.543,3650.0
380.000,0.505,3160.0
385.000,0.470,2730.0
390.000,0.437,2360.0
395.000,0.406,2040.0
400.000,0.378,1770.0
405.000,0.351,1530.0
410.000,0.326,1320.0
415.000,0.303,1140.0
420.000,0.282,986.0
425.000,0.262,852.0
430.000,0.244,736.0
435.000,0.227,636.0
440.000,0.211,550.0
