Height,Frequency,Density
89.854,0.200,495.0
90.000,0.213,560.0
95.000,1.140,16100.0
100.000,1.475,26900.0
105.000,1.648,33600.0
110.000,1.703,35900.0
115.000,1.670,34500.0
120.000,1.568,30400.0
120.598,1.551,29800.0
125.000,1.551,29800.0
130.000,1.551,29800.0
131.195,1.551,29800.0
135.000,1.606,31900.0
140.000,1.677,34800.0
141.793,1.703,35900.0
145.000,1.828,41400.0
150.000,1.991,49100.0
155.000,2.152,57300.0
160.000,2.325,66900.0
165.000,2.521,78700.0
170.000,2.745,93300.0
175.000,2.998,111000.0
180.000,3.262,132000.0
185.000,3.514,153000.0
190.000,3.737,173000.0
195.000,3.925,191000.0
200.000,4.076,206000.0
205.000,4.186,217000.0
210.000,4.252,224000.0
214.209,4.270,226000.0
215.000,4.270,226000.0
220.000,4.255,224000.0
225.000,4.219,220000.0
230.000,4.166,215000.0
235.000,4.097,208000.0
240.000,4.015,200000.0
245.000,3.922,190000.0
250.000,3.820,181000.0
255.000,3.711,170000.0
260.000,3.596,160000.0
265.000,3.478,150000.0
270.000,3.358,140000.0
275.000,3.236,130000.0
280.000,3.113,120000.0
285.000,2.992,111000.0
290.000,2.871,102000.0
295.000,2.752,93800.0
300.000,2.635,86000.0
305.000,2.521,78700.0
310.000,2.410,71900.0
315.000,2.302,65600.0
320.000,2.198,59800.0
325.000,2.097,54400.0
330.000,2.000,49500.0
335.000,1.906,45000.0
340.000,1.815,40800.0
345.000,1.729,37000.0
350.000,1.646,33500.0
355.000,1.566,30400.0
360.000,1.490,27500.0
365.000,1.417,24900.0
370.000,1.348,22500.0
375.000,1.281,20300.0
380.000,1.218,18400.0
385.000,1.157,16600.0
390.000,1.100,15000.0
395.000,1.045,13500.0
400.000,0.993,12200.0
405.000,0.943,11000.0
410.000,0.895,9930.0
415.000,0.850,8950.0
420.000,0.807,8070.0
425.000,0.767,7280.0
430.000,0.728,6560.0
435.000,0.691,5910.0
440.000,0.656,5330.0
445.000,0.623,4800.0
450.000,0.591,4330.0
455.000,0.561,3900.0
460.000,0.533,3510.0
465.000,0.506,3170.0
470.000,0.480,2850.0
475.000,0.456,2570.0
480.000,0.432,2310.0
485.000,0.410,2080.0
490.000,0.389,1880.0
495.000,0.370,1690.0
500.000,0.351,1520.0
505.000,0.333,1370.0
510.000,0.316,1240.0
515.000,0.300,1110.0
520.000,0.285,1000.0
525.000,0.270,902.0
530.000,0.256,813.0
535.000,0.243,732.0
540.000,0.231,659.0
545.000,0.219,594.0
550.000,0.208,534.0
