Height,Frequency,Density
92.359,0.200,495.0
95.000,0.280,972.0
100.000,0.367,1670.0
105.000,0.411,2090.0
110.000,0.424,2230.0
115.000,0.419,2180.0
120.000,0.405,2030.0
125.000,0.381,1800.0
130.000,0.344,1460.0
135.000,0.288,1030.0
140.000,0.202,503.0
140.075,0.200,495.0
145.000,0.200,495.0
150.000,0.200,495.0
155.000,0.200,495.0
160.000,0.200,495.0
165.000,0.200,495.0
170.000,0.200,495.0
170.150,0.200,495.0
175.000,0.236,690.0
180.000,0.273,925.0
185.000,0.311,1190.0
190.000,0.348,1500.0
195.000,0.385,1840.0
200.000,0.422,2210.0
200.225,0.424,2230.0
205.000,0.517,3310.0
210.000,0.622,4790.0
215.000,0.744,6860.0
220.000,0.880,9580.0
225.000,1.019,12800.0
230.000,1.154,16500.0
235.000,1.283,20400.0
240.000,1.406,24500.0
245.000,1.523,28700.0
250.000,1.634,33100.0
255.000,1.739,37500.0
260.000,1.834,41700.0
265.000,1.912,45200.0
270.000,1.956,47300.0
272.021,1.960,47600.0
275.000,1.957,47400.0
280.000,1.940,46600.0
285.000,1.910,45100.0
290.000,1.868,43200.0
295.000,1.818,40900.0
300.000,1.760,38400.0
305.000,1.698,35700.0
310.000,1.632,33000.0
315.000,1.563,30200.0
320.000,1.493,27600.0
325.000,1.423,25100.0
330.000,1.353,22600.0
335.000,1.284,20400.0
340.000,1.216,18300.0
345.000,1.151,16400.0
350.000,1.087,14600.0
355.000,1.026,13000.0
360.000,0.968,11600.0
365.000,0.912,10300.0
370.000,0.858,9120.0
375.000,0.807,8070.0
380.000,0.759,7140.0
385.000,0.714,6300.0
390.000,0.670,5560.0
395.000,0.629,4900.0
400.000,0.591,4320.0
405.000,0.554,3800.0
410.000,0.520,3350.0
415.000,0.488,2950.0
420.000,0.457,2590.0
425.000,0.429,2280.0
430.000,0.402,2000.0
435.000,0.377,1760.0
440.000,0.353,1540.0
445.000,0.331,1360.0
450.000,0.310,1190.0
455.000,0.291,1050.0
460.000,0.272,917.0
465.000,0.255,805.0
470.000,0.239,707.0
475.000,0.224,620.0
480.000,0.210,544.0
