Height,Frequency,Density
89.788,0.200,495.0
90.000,0.218,590.0
95.000,1.277,20200.0
100.000,1.651,33700.0
105.000,1.845,42100.0
110.000,1.906,45000.0
115.000,1.865,43100.0
119.307,1.762,38400.0
120.000,1.762,38400.0
125.000,1.762,38400.0
128.613,1.762,38400.0
130.000,1.783,39400.0
135.000,1.861,42900.0
137.920,1.906,45000.0
140.000,1.977,48400.0
145.000,2.121,55700.0
150.000,2.255,63000.0
155.000,2.393,70900.0
160.000,2.541,80000.0
165.000,2.708,90800.0
170.000,2.902,104000.0
175.000,3.135,122000.0
180.000,3.409,144000.0
185.000,3.695,169000.0
190.000,3.938,192000.0
195.000,4.118,210000.0
200.000,4.239,222000.0
205.000,4.310,230000.0
210.000,4.339,233000.0
211.034,4.340,233000.0
215.000,4.333,232000.0
220.000,4.305,229000.0
225.000,4.257,224000.0
230.000,4.193,218000.0
235.000,4.115,210000.0
240.000,4.025,201000.0
245.000,3.926,191000.0
250.000,3.818,181000.0
255.000,3.705,170000.0
260.000,3.587,159000.0
265.000,3.466,149000.0
270.000,3.344,138000.0
275.000,3.220,128000.0
280.000,3.097,119000.0
285.000,2.974,110000.0
290.000,2.853,101000.0
295.000,2.734,92600.0
300.000,2.618,84800.0
305.000,2.504,77600.0
310.000,2.394,70900.0
315.000,2.287,64700.0
320.000,2.183,59000.0
325.000,2.083,53700.0
330.000,1.986,48800.0
335.000,1.893,44400.0
340.000,1.804,40300.0
345.000,1.718,36500.0
350.000,1.635,33100.0
355.000,1.557,30000.0
360.000,1.481,27200.0
365.000,1.409,24600.0
370.000,1.340,22200.0
375.000,1.275,20100.0
380.000,1.212,18200.0
385.000,1.152,16400.0
390.000,1.095,14800.0
395.000,1.041,13400.0
400.000,0.989,12100.0
405.000,0.939,10900.0
410.000,0.893,9860.0
415.000,0.848,8900.0
420.000,0.805,8030.0
425.000,0.765,7240.0
430.000,0.727,6540.0
435.000,0.690,5890.0
440.000,0.655,5320.0
445.000,0.622,4790.0
450.000,0.591,4320.0
455.000,0.561,3900.0
460.000,0.533,3510.0
465.000,0.506,3170.0
470.000,0.480,2860.0
475.000,0.456,2570.0
480.000,0.433,2320.0
485.000,0.411,2090.0
490.000,0.390,1890.0
495.000,0.370,1700.0
500.000,0.352,1530.0
505.000,0.334,1380.0
510.000,0.317,1240.0
515.000,0.301,1120.0
520.000,0.286,1010.0
525.000,0.271,910.0
530.000,0.257,820.0
535.000,0.244,739.0
540.000,0.232,666.0
545.000,0.220,600.0
550.000,0.209,541.0
