Height,Frequency,Density
90.047,0.200,495.0
95.000,0.857,9090.0
100.000,1.112,15300.0
105.000,1.243,19100.0
110.000,1.284,20400.0
115.000,1.262,19700.0
120.000,1.194,17600.0
124.185,1.097,14900.0
125.000,1.097,14900.0
130.000,1.097,14900.0
135.000,1.097,14900.0
138.370,1.097,14900.0
140.000,1.118,15500.0
145.000,1.184,17400.0
150.000,1.250,19400.0
152.555,1.284,20400.0
155.000,1.368,23200.0
160.000,1.532,29100.0
165.000,1.702,35900.0
170.000,1.890,44200.0
175.000,2.107,55000.0
180.000,2.372,69600.0
185.000,2.679,88800.0
190.000,2.965,109000.0
195.000,3.175,125000.0
200.000,3.318,136000.0
205.000,3.414,144000.0
210.000,3.478,150000.0
215.000,3.517,153000.0
220.000,3.534,155000.0
221.702,3.535,155000.0
225.000,3.531,154000.0
230.000,3.513,153000.0
235.000,3.481,150000.0
240.000,3.436,146000.0
245.000,3.381,141000.0
250.000,3.316,136000.0
255.000,3.244,130000.0
260.000,3.165,124000.0
265.000,3.081,118000.0
270.000,2.994,111000.0
275.000,2.903,104000.0
280.000,2.811,97800.0
285.000,2.717,91400.0
290.000,2.623,85200.0
295.000,2.529,79200.0
300.000,2.435,73400.0
305.000,2.343,67900.0
310.000,2.252,62800.0
315.000,2.162,57900.0
320.000,2.075,53300.0
325.000,1.990,49000.0
330.000,1.907,45000.0
335.000,1.826,41300.0
340.000,1.748,37800.0
345.000,1.672,34600.0
350.000,1.599,31700.0
355.000,1.529,28900.0
360.000,1.461,26400.0
365.000,1.396,24100.0
370.000,1.333,22000.0
375.000,1.273,20100.0
380.000,1.215,18300.0
385.000,1.160,16700.0
390.000,1.107,15200.0
395.000,1.056,13800.0
400.000,1.007,12600.0
405.000,0.960,11400.0
410.000,0.916,10400.0
415.000,0.873,9440.0
420.000,0.833,8580.0
425.000,0.794,7800.0
430.000,0.757,7090.0
435.000,0.721,6440.0
440.000,0.687,5850.0
445.000,0.655,5310.0
450.000,0.624,4820.0
455.000,0.595,4380.0
460.000,0.567,3980.0
465.000,0.540,3610.0
470.000,0.514,3280.0
475.000,0.490,2970.0
480.000,0.467,2700.0
485.000,0.445,2450.0
490.000,0.424,2220.0
495.000,0.404,2020.0
500.000,0.384,1830.0
505.000,0.366,1660.0
510.000,0.349,1510.0
515.000,0.332,1370.0
520.000,0.317,1240.0
525.000,0.301,1130.0
530.000,0.287,1020.0
535.000,0.274,926.0
540.000,0.261,840.0
545.000,0.248,762.0
550.000,0.236,691.0
555.000,0.225,627.0
560.000,0.214,569.0
565.000,0.204,516.0
