Height,Frequency,Density
89.745,0.200,495.0
90.000,0.222,610.0
95.000,1.378,23500.0
100.000,1.781,39200.0
105.000,1.990,49000.0
110.000,2.056,52300.0
115.000,2.008,49900.0
118.414,1.917,45500.0
120.000,1.917,45500.0
125.000,1.917,45500.0
126.829,1.917,45500.0
130.000,1.969,48000.0
135.000,2.052,52100.0
135.243,2.056,52300.0
140.000,2.245,62400.0
145.000,2.405,71600.0
150.000,2.561,81200.0
155.000,2.724,91800.0
160.000,2.900,104000.0
165.000,3.101,119000.0
170.000,3.338,138000.0
175.000,3.626,163000.0
180.000,3.967,195000.0
185.000,4.304,229000.0
190.000,4.550,256000.0
195.000,4.673,270000.0
197.744,4.690,272000.0
200.000,4.685,272000.0
205.000,4.645,267000.0
210.000,4.567,258000.0
215.000,4.460,246000.0
220.000,4.328,232000.0
225.000,4.178,216000.0
230.000,4.015,200000.0
235.000,3.843,183000.0
240.000,3.666,166000.0
245.000,3.486,150000.0
250.000,3.306,135000.0
255.000,3.129,121000.0
260.000,2.955,108000.0
265.000,2.786,96100.0
270.000,2.623,85100.0
275.000,2.466,75300.0
280.000,2.316,66400.0
285.000,2.172,58400.0
290.000,2.036,51300.0
295.000,1.908,45000.0
300.000,1.786,39500.0
305.000,1.671,34600.0
310.000,1.562,30200.0
315.000,1.460,26400.0
320.000,1.365,23100.0
325.000,1.275,20100.0
330.000,1.190,17500.0
335.000,1.111,15300.0
340.000,1.037,13300.0
345.000,0.968,11600.0
350.000,0.903,10100.0
355.000,0.843,8790.0
360.000,0.786,7650.0
365.000,0.733,6660.0
370.000,0.684,5790.0
375.000,0.638,5040.0
380.000,0.595,4380.0
385.000,0.555,3810.0
390.000,0.517,3310.0
395.000,0.482,2880.0
400.000,0.450,2500.0
405.000,0.419,2180.0
410.000,0.391,1890.0
415.000,0.364,1640.0
420.000,0.340,1430.0
425.000,0.317,1240.0
430.000,0.295,1080.0
435.000,0.275,938.0
440.000,0.257,815.0
445.000,0.239,708.0
450.000,0.223,615.0
455.000,0.208,535.0
