Height,Frequency,Density
90.000,0.200,495.0
95.000,1.593,31400.0
100.000,1.939,46600.0
101.964,1.967,47900.0
105.000,1.951,47100.0
110.000,1.851,42400.0
110.786,1.827,41300.0
115.000,1.827,41300.0
119.607,1.827,41300.0
120.000,1.833,41600.0
125.000,1.913,45300.0
128.429,1.967,47900.0
130.000,2.009,49900.0
135.000,2.131,56200.0
140.000,2.252,62800.0
145.000,2.383,70300.0
150.000,2.532,79400.0
155.000,2.713,91100.0
160.000,2.942,107000.0
165.000,3.227,129000.0
170.000,3.529,154000.0
175.000,3.801,179000.0
180.000,4.038,202000.0
185.000,4.248,223000.0
190.000,4.435,243000.0
195.000,4.549,256000.0
195.490,4.550,256000.0
200.000,4.534,254000.0
205.000,4.481,249000.0
210.000,4.397,239000.0
215.000,4.288,228000.0
220.000,4.158,214000.0
225.000,4.014,199000.0
230.000,3.859,184000.0
235.000,3.696,169000.0
240.000,3.529,154000.0
245.000,3.360,140000.0
250.000,3.191,126000.0
255.000,3.025,113000.0
260.000,2.862,101000.0
265.000,2.704,90500.0
270.000,2.550,80500.0
275.000,2.403,71500.0
280.000,2.261,63300.0
285.000,2.126,56000.0
290.000,1.998,49400.0
295.000,1.875,43500.0
300.000,1.760,38300.0
305.000,1.650,33700.0
310.000,1.547,29600.0
315.000,1.449,26000.0
320.000,1.357,22800.0
325.000,1.271,20000.0
330.000,1.189,17500.0
335.000,1.113,15300.0
340.000,1.041,13400.0
345.000,0.974,11800.0
350.000,0.911,10300.0
355.000,0.852,8990.0
360.000,0.797,7860.0
365.000,0.745,6870.0
370.000,0.696,6010.0
375.000,0.651,5250.0
380.000,0.609,4590.0
385.000,0.569,4010.0
390.000,0.532,3500.0
395.000,0.497,3060.0
400.000,0.464,2670.0
405.000,0.434,2330.0
410.000,0.405,2040.0
415.000,0.379,1780.0
420.000,0.354,1550.0
425.000,0.331,1360.0
430.000,0.309,1180.0
435.000,0.289,1030.0
440.000,0.270,902.0
445.000,0.252,787.0
450.000,0.236,687.0
455.000,0.220,600.0
460.000,0.206,524.0
