Height,Frequency,Density
90.308,0.200,495.0
95.000,0.643,5120.0
100.000,0.837,8680.0
105.000,0.935,10800.0
110.000,0.966,11600.0
115.000,0.950,11200.0
120.000,0.901,10100.0
125.000,0.815,8220.0
130.000,0.676,5650.0
131.317,0.626,4850.0
135.000,0.626,4850.0
140.000,0.626,4850.0
145.000,0.626,4850.0
150.000,0.626,4850.0
152.633,0.626,4850.0
155.000,0.664,5450.0
160.000,0.743,6840.0
165.000,0.823,8390.0
170.000,0.903,10100.0
173.950,0.966,11600.0
175.000,0.998,12300.0
180.000,1.192,17600.0
185.000,1.426,25200.0
190.000,1.670,34500.0
195.000,1.927,46000.0
200.000,2.204,60100.0
205.000,2.488,76600.0
210.000,2.743,93100.0
215.000,2.941,107000.0
220.000,3.085,118000.0
225.000,3.186,126000.0
230.000,3.256,131000.0
235.000,3.299,135000.0
240.000,3.321,137000.0
242.986,3.325,137000.0
245.000,3.324,137000.0
250.000,3.310,136000.0
255.000,3.283,133000.0
260.000,3.243,130000.0
265.000,3.193,126000.0
270.000,3.134,122000.0
275.000,3.067,116000.0
280.000,2.995,111000.0
285.000,2.917,105000.0
290.000,2.835,99500.0
295.000,2.750,93600.0
300.000,2.663,87800.0
305.000,2.575,82100.0
310.000,2.486,76500.0
315.000,2.397,71100.0
320.000,2.308,66000.0
325.000,2.221,61100.0
330.000,2.135,56400.0
335.000,2.050,52000.0
340.000,1.967,47900.0
345.000,1.886,44000.0
350.000,1.807,40400.0
355.000,1.731,37100.0
360.000,1.657,34000.0
365.000,1.585,31100.0
370.000,1.516,28400.0
375.000,1.449,26000.0
380.000,1.385,23700.0
385.000,1.323,21700.0
390.000,1.263,19800.0
395.000,1.206,18000.0
400.000,1.151,16400.0
405.000,1.098,14900.0
410.000,1.048,13600.0
415.000,1.000,12400.0
420.000,0.953,11300.0
425.000,0.909,10200.0
430.000,0.867,9300.0
435.000,0.826,8450.0
440.000,0.788,7680.0
445.000,0.751,6980.0
450.000,0.716,6340.0
455.000,0.682,5760.0
460.000,0.650,5230.0
465.000,0.619,4750.0
470.000,0.590,4310.0
475.000,0.562,3910.0
480.000,0.535,3550.0
485.000,0.510,3220.0
490.000,0.486,2920.0
495.000,0.463,2650.0
500.000,0.441,2410.0
505.000,0.420,2180.0
510.000,0.400,1980.0
515.000,0.381,1800.0
520.000,0.363,1630.0
525.000,0.346,1480.0
530.000,0.329,1340.0
535.000,0.313,1220.0
540.000,0.299,1100.0
545.000,0.284,1000.0
550.000,0.271,907.0
555.000,0.258,823.0
560.000,0.246,746.0
565.000,0.234,677.0
570.000,0.223,614.0
575.000,0.212,557.0
580.000,0.202,505.0
